Departamento,Distrito,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES
SAN MARTIN,SAN JOSE DE SISA,0.0,1.0,28.0,0.0,14.0,63.0,106.0,0.0,1639.0
SAN MARTIN,SAN MARTIN,0.0,2.0,4.0,0.0,14.0,110.0,130.0,0.0,1248.0
SAN MARTIN,SAN PABLO,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,4686.0
SAN MARTIN,SAN RAFAEL,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1168.0
SAN MARTIN,SANTA ROSA,0.0,1.0,0.0,0.0,2.0,23.0,26.0,0.0,2643.0
SAN MARTIN,SAUCE,2.0,3.0,0.0,3.0,18.0,75.0,101.0,4.0,1915.0
SAN MARTIN,SHAMBOYACU,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,401.0
SAN MARTIN,SHANAO,0.0,1.0,0.0,0.0,0.0,33.0,34.0,0.0,162.0
SAN MARTIN,SHATOJA,0.0,7.0,0.0,1.0,0.0,171.0,179.0,0.0,482.0
SAN MARTIN,TABALOSOS,0.0,49.0,2.0,5.0,26.0,35.0,117.0,0.0,1373.0
SAN MARTIN,TARAPOTO,0.0,191.0,14.0,1.0,49.0,693.0,948.0,0.0,5198.0
SAN MARTIN,TINGO DE PONASA,0.0,6.0,0.0,1.0,0.0,2.0,9.0,0.0,231.0
SAN MARTIN,TOCACHE,0.0,4.0,5.0,0.0,13.0,24.0,46.0,0.0,1872.0
SAN MARTIN,TRES UNIDOS,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,249.0
SAN MARTIN,YORONGOS,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,344.0
TACNA,ALTO DE LA ALIANZA,0.0,81.0,5.0,0.0,107.0,101.0,294.0,0.0,10022.0
TACNA,CAMILACA,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,661.0
TACNA,CANDARAVE,1.0,0.0,1.0,0.0,9.0,24.0,35.0,0.0,3257.0
TACNA,CIUDAD NUEVA,9.0,16.0,6.0,7.0,62.0,100.0,200.0,0.0,10296.0
TACNA,CORONEL GREGORIO ALBARRACIN LANCHIPA,8.0,26.0,25.0,2.0,105.0,119.0,285.0,0.0,19848.0
TACNA,CURIBAYA,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,336.0
TACNA,ESTIQUE-PAMPA,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,367.0
TACNA,HEROES ALBARRACIN,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,532.0
TACNA,HUANUARA,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,515.0
TACNA,INCLAN,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1787.0
TACNA,ITE,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1088.0
TACNA,LOCUMBA,0.0,0.0,0.0,0.0,15.0,10.0,25.0,0.0,1256.0
TACNA,PACHIA,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,799.0
TACNA,PALCA,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1372.0
TACNA,POCOLLAY,1.0,9.0,1.0,1.0,41.0,29.0,82.0,0.0,2629.0
TACNA,SAMA,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,757.0
TACNA,SUSAPAYA,0.0,6.0,0.0,0.0,7.0,10.0,23.0,0.0,670.0
TACNA,TACNA,0.0,118.0,10.0,2.0,127.0,326.0,583.0,0.0,22226.0
TACNA,TARATA,4.0,12.0,2.0,0.0,52.0,54.0,124.0,0.0,2759.0
TACNA,TARUCACHI,0.0,1.0,0.0,0.0,4.0,3.0,8.0,0.0,414.0
TACNA,TICACO,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,491.0
ANCASH,ACZO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
ANCASH,BOLOGNESI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0
ANCASH,COCHAPETI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
ANCASH,CORONGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
ANCASH,CULEBRAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ANCASH,HUANCHAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
ANCASH,LACABAMBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0
ANCASH,LLACLLIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0
ANCASH,LLAPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0
ANCASH,MACATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
ANCASH,MALVAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ANCASH,OLLEROS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
ANCASH,PAMPAROMAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0
ANCASH,PAMPAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0
ANCASH,QUICHES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0
ANCASH,SHUPLUY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0
ANCASH,SUCCHA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0
ANCASH,TAUCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0
ANCASH,YURACMARCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0
AREQUIPA,CHOCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
AREQUIPA,POCSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0
